"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US01001","Autauga County, Alabama","20071","387","53682","1500","81.5","1.0","58009","3025","16.7","0.9","30398","4224","0.2","0.2","21250","40228","0.4","0.2","108750","1086","0.0","0.1","-","**","0.3","0.3","83969","6965","1.0","0.5","32350","58557","1.7","0.5","43750","45466","80.2","1.0","58470","2966","2.7","0.9","32381","3142","36.1","1.4","57485","3860","40.4","1.4","59967","6726","20.8","0.9","38680","3002","14132","427","66349","4088","46.4","2.1","64958","5303","53.6","2.1","67835","6228","77.0","2.3","76002","3249","18.3","2.2","29075","3625","4.7","1.0","53189","10810","5939","440","29620","2560","49.4","4.7","26497","2613","43.9","4.4","25058","3345","5.5","2.5","37898","37937","50.6","4.7","33468","5322","43.0","4.6","31466","4582","7.5","3.3","53149","16685","24.5","(X)","(X)","(X)","24.8","(X)","(X)","(X)","23.4","(X)","(X)","(X)",
"0500000US01003","Baldwin County, Alabama","73283","1029","50221","1574","89.0","0.5","52912","1404","7.9","0.4","27296","2739","0.6","0.2","49438","31155","0.6","0.1","43672","44374","0.0","0.1","-","**","0.9","0.3","48600","20915","1.1","0.3","29196","6660","2.4","0.3","42275","8801","87.4","0.6","53120","1402","3.1","0.5","29237","2278","29.9","0.7","53417","2605","39.8","0.7","58185","4159","27.2","0.6","41682","2439","51903","1185","60864","2386","38.1","1.3","55362","3667","61.9","1.3","63906","2109","79.6","1.3","70107","2165","15.5","1.1","26879","2446","5.0","0.8","40904","4228","21380","1116","28628","1640","55.6","2.4","24609","1460","49.7","2.3","22799","1319","6.0","1.3","48893","9277","44.4","2.4","34251","4217","36.4","2.7","30351","1912","8.0","1.6","58333","20892","27.4","(X)","(X)","(X)","28.3","(X)","(X)","(X)","24.2","(X)","(X)","(X)",
"0500000US01005","Barbour County, Alabama","9200","329","32911","3465","52.6","2.0","45279","4435","43.1","2.1","21138","2740","0.3","0.4","-","**","0.4","0.3","43304","58741","0.0","0.3","-","**","2.3","1.0","32778","30027","1.4","0.6","12452","19504","3.2","0.9","33864","24655","51.7","2.0","45097","4406","2.4","0.9","13929","7717","28.5","2.0","34464","9836","41.2","1.9","41625","2720","27.8","1.4","23524","2225","6062","302","43462","3279","40.2","3.0","35049","6728","59.8","3.0","49019","4186","66.3","3.5","57348","4086","28.9","3.3","16954","1950","4.8","1.5","41375","4234","3138","274","17938","2257","56.2","4.4","15013","2231","51.5","4.1","14933","1935","4.8","2.1","18214","10740","43.8","4.4","24066","3971","40.0","4.4","22887","6398","3.7","1.6","46607","13644","36.3","(X)","(X)","(X)","39.4","(X)","(X)","(X)","28.7","(X)","(X)","(X)",
"0500000US01007","Bibb County, Alabama","7091","296","36447","3420","81.1","2.6","41842","2513","18.2","2.6","18401","4780","0.3","0.3","20568","8585","0.0","0.4","-","**","0.0","0.4","-","**","0.0","0.4","-","**","0.3","0.4","30357","34079","1.2","0.8","41307","2456","79.9","2.8","41949","2861","4.0","2.2","15975","16174","29.5","3.0","43821","6741","42.1","2.7","42073","3050","24.4","2.2","22126","2947","5337","298","43004","3062","42.0","4.7","40684","2936","58.0","4.7","46250","4832","73.1","4.0","52500","2784","21.2","3.7","17125","3079","5.7","2.3","23307","5312","1754","264","18051","2228","42.2","8.0","16357","3082","39.8","7.8","15607","2797","2.4","2.2","29600","44024","57.8","8.0","19551","14512","51.9","8.6","18257","8349","5.9","3.9","41307","18465","34.4","(X)","(X)","(X)","33.2","(X)","(X)","(X)","33.2","(X)","(X)","(X)",
"0500000US01009","Blount County, Alabama","21108","421","44145","2412","96.1","0.7","44982","2433","1.1","0.3","25742","3524","0.4","0.3","55870","37077","0.2","0.1","7292","41991","0.0","0.1","-","**","1.1","0.5","31531","2886","1.3","0.4","35438","21576","5.1","0.6","36667","4813","92.1","0.8","45820","2511","2.2","0.7","27118","9393","32.8","1.4","50826","3749","39.6","1.3","51575","3160","25.4","1.1","29379","3027","15667","531","52996","2964","41.7","2.2","53113","3028","58.3","2.2","52775","5330","79.9","2.2","58978","2876","12.6","1.7","23699","3149","7.6","1.5","48733","7908","5441","469","24744","2719","52.6","4.3","20323","2529","48.4","4.5","18934","2239","4.2","1.6","45592","15109","47.4","4.3","31575","4264","41.6","4.5","30274","8367","5.8","1.9","43993","15788","27.1","(X)","(X)","(X)","27.9","(X)","(X)","(X)","22.7","(X)","(X)","(X)",
"0500000US01011","Bullock County, Alabama","3741","246","32033","7708","35.2","5.3","53938","28268","64.8","5.3","24836","3454","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.2","-","**","3.8","3.1","-","**","31.4","3.9","49595","6630","2.1","2.1","13971","14180","31.3","4.7","40563","11911","40.8","4.0","36739","10604","25.7","2.8","22344","6443","2389","290","44933","6234","39.8","6.2","49167","7577","60.2","6.2","42665","9997","50.5","6.1","69439","11600","38.4","6.0","27250","4917","11.1","5.2","34063","37926","1352","240","22260","2000","50.7","8.5","22500","4964","45.3","7.6","19718","6128","5.4","5.3","-","**","49.3","8.5","22201","4407","36.2","8.3","20682","1990","13.0","7.5","68602","709","50.8","(X)","(X)","(X)","48.3","(X)","(X)","(X)","53.4","(X)","(X)","(X)",
"0500000US01013","Butler County, Alabama","8235","223","29918","2270","57.2","1.6","39329","3972","41.0","1.8","20939","1859","0.2","0.2","13125","9200","0.8","0.8","98750","19683","0.0","0.4","-","**","0.2","0.3","-","**","0.6","0.4","16250","79478","1.0","0.5","41016","50394","56.4","1.6","39354","3904","3.4","1.0","17933","7902","25.7","1.7","34667","5773","43.4","1.4","31972","3261","27.6","1.5","22465","2655","5346","272","38500","2655","37.8","2.4","31081","5252","62.2","2.4","40696","3391","62.5","3.2","51908","5615","29.8","2.8","18917","1766","7.7","2.0","31734","5602","2889","237","17404","2651","62.0","4.1","15431","2253","58.4","4.1","14421","2116","3.6","2.1","45813","32838","38.0","4.1","22516","4794","34.5","4.2","22711","4122","3.5","2.2","13125","55892","25.4","(X)","(X)","(X)","25.7","(X)","(X)","(X)","23.7","(X)","(X)","(X)",
"0500000US01015","Calhoun County, Alabama","45196","665","39962","1210","76.8","0.8","44109","1422","20.5","0.7","25514","2672","0.3","0.2","45481","32081","0.5","0.2","26484","43103","0.0","0.1","-","**","0.9","0.3","38433","17093","0.9","0.2","28684","14160","2.3","0.3","33849","7584","75.6","0.8","44381","1419","5.5","0.6","18863","3624","29.6","0.9","41764","2652","40.1","0.9","48990","2453","24.9","0.7","32409","1940","29999","740","50851","1642","37.0","1.5","45586","3709","63.0","1.5","53596","1774","70.3","1.9","62992","1949","23.3","1.7","23595","2829","6.4","1.0","34558","6035","15197","698","21812","983","56.0","2.3","17417","1260","49.9","2.4","17067","1095","6.1","1.1","24722","8968","44.0","2.3","30900","2150","36.4","2.2","29123","3278","7.6","1.3","39396","7429","30.5","(X)","(X)","(X)","31.2","(X)","(X)","(X)","27.8","(X)","(X)","(X)",
"0500000US01017","Chambers County, Alabama","13722","321","32402","1539","60.3","1.4","40263","2740","38.3","1.3","22094","3394","0.1","0.2","-","**","0.5","0.2","60000","28735","0.0","0.2","-","**","0.1","0.1","-","**","0.7","0.4","39375","16585","0.3","0.2","27917","29710","60.2","1.3","40342","2646","2.3","0.8","25139","24840","31.2","1.7","32308","2990","39.5","1.4","39418","2463","27.1","1.2","26321","3289","8999","432","41040","1625","37.0","1.9","32650","3363","63.0","1.9","44618","4549","64.2","2.9","54040","3839","27.0","2.6","21008","3294","8.8","1.6","22857","8378","4723","384","17352","1898","56.7","3.2","16038","1083","53.2","3.2","15627","1102","3.5","1.8","29926","39931","43.3","3.2","21034","3764","39.9","3.2","20341","3363","3.4","1.7","48107","34290","29.9","(X)","(X)","(X)","32.4","(X)","(X)","(X)","23.9","(X)","(X)","(X)",
