"GEO_ID","NAME","B27001_001E","B27001_001M","B27001_002E","B27001_002M","B27001_003E","B27001_003M","B27001_004E","B27001_004M","B27001_005E","B27001_005M","B27001_006E","B27001_006M","B27001_007E","B27001_007M","B27001_008E","B27001_008M","B27001_009E","B27001_009M","B27001_010E","B27001_010M","B27001_011E","B27001_011M","B27001_012E","B27001_012M","B27001_013E","B27001_013M","B27001_014E","B27001_014M","B27001_015E","B27001_015M","B27001_016E","B27001_016M","B27001_017E","B27001_017M","B27001_018E","B27001_018M","B27001_019E","B27001_019M","B27001_020E","B27001_020M","B27001_021E","B27001_021M","B27001_022E","B27001_022M","B27001_023E","B27001_023M","B27001_024E","B27001_024M","B27001_025E","B27001_025M","B27001_026E","B27001_026M","B27001_027E","B27001_027M","B27001_028E","B27001_028M","B27001_029E","B27001_029M","B27001_030E","B27001_030M","B27001_031E","B27001_031M","B27001_032E","B27001_032M","B27001_033E","B27001_033M","B27001_034E","B27001_034M","B27001_035E","B27001_035M","B27001_036E","B27001_036M","B27001_037E","B27001_037M","B27001_038E","B27001_038M","B27001_039E","B27001_039M","B27001_040E","B27001_040M","B27001_041E","B27001_041M","B27001_042E","B27001_042M","B27001_043E","B27001_043M","B27001_044E","B27001_044M","B27001_045E","B27001_045M","B27001_046E","B27001_046M","B27001_047E","B27001_047M","B27001_048E","B27001_048M","B27001_049E","B27001_049M","B27001_050E","B27001_050M","B27001_051E","B27001_051M","B27001_052E","B27001_052M","B27001_053E","B27001_053M","B27001_054E","B27001_054M","B27001_055E","B27001_055M","B27001_056E","B27001_056M","B27001_057E","B27001_057M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 6 years","Margin of Error!!Total!!Male!!Under 6 years","Estimate!!Total!!Male!!Under 6 years!!With health insurance coverage","Margin of Error!!Total!!Male!!Under 6 years!!With health insurance coverage","Estimate!!Total!!Male!!Under 6 years!!No health insurance coverage","Margin of Error!!Total!!Male!!Under 6 years!!No health insurance coverage","Estimate!!Total!!Male!!6 to 17 years","Margin of Error!!Total!!Male!!6 to 17 years","Estimate!!Total!!Male!!6 to 17 years!!With health insurance coverage","Margin of Error!!Total!!Male!!6 to 17 years!!With health insurance coverage","Estimate!!Total!!Male!!6 to 17 years!!No health insurance coverage","Margin of Error!!Total!!Male!!6 to 17 years!!No health insurance coverage","Estimate!!Total!!Male!!18 to 24 years","Margin of Error!!Total!!Male!!18 to 24 years","Estimate!!Total!!Male!!18 to 24 years!!With health insurance coverage","Margin of Error!!Total!!Male!!18 to 24 years!!With health insurance coverage","Estimate!!Total!!Male!!18 to 24 years!!No health insurance coverage","Margin of Error!!Total!!Male!!18 to 24 years!!No health insurance coverage","Estimate!!Total!!Male!!25 to 34 years","Margin of Error!!Total!!Male!!25 to 34 years","Estimate!!Total!!Male!!25 to 34 years!!With health insurance coverage","Margin of Error!!Total!!Male!!25 to 34 years!!With health insurance coverage","Estimate!!Total!!Male!!25 to 34 years!!No health insurance coverage","Margin of Error!!Total!!Male!!25 to 34 years!!No health insurance coverage","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!35 to 44 years!!With health insurance coverage","Margin of Error!!Total!!Male!!35 to 44 years!!With health insurance coverage","Estimate!!Total!!Male!!35 to 44 years!!No health insurance coverage","Margin of Error!!Total!!Male!!35 to 44 years!!No health insurance coverage","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!45 to 54 years!!With health insurance coverage","Margin of Error!!Total!!Male!!45 to 54 years!!With health insurance coverage","Estimate!!Total!!Male!!45 to 54 years!!No health insurance coverage","Margin of Error!!Total!!Male!!45 to 54 years!!No health insurance coverage","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!55 to 64 years!!With health insurance coverage","Margin of Error!!Total!!Male!!55 to 64 years!!With health insurance coverage","Estimate!!Total!!Male!!55 to 64 years!!No health insurance coverage","Margin of Error!!Total!!Male!!55 to 64 years!!No health insurance coverage","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!65 to 74 years!!With health insurance coverage","Margin of Error!!Total!!Male!!65 to 74 years!!With health insurance coverage","Estimate!!Total!!Male!!65 to 74 years!!No health insurance coverage","Margin of Error!!Total!!Male!!65 to 74 years!!No health insurance coverage","Estimate!!Total!!Male!!75 years and over","Margin of Error!!Total!!Male!!75 years and over","Estimate!!Total!!Male!!75 years and over!!With health insurance coverage","Margin of Error!!Total!!Male!!75 years and over!!With health insurance coverage","Estimate!!Total!!Male!!75 years and over!!No health insurance coverage","Margin of Error!!Total!!Male!!75 years and over!!No health insurance coverage","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 6 years","Margin of Error!!Total!!Female!!Under 6 years","Estimate!!Total!!Female!!Under 6 years!!With health insurance coverage","Margin of Error!!Total!!Female!!Under 6 years!!With health insurance coverage","Estimate!!Total!!Female!!Under 6 years!!No health insurance coverage","Margin of Error!!Total!!Female!!Under 6 years!!No health insurance coverage","Estimate!!Total!!Female!!6 to 17 years","Margin of Error!!Total!!Female!!6 to 17 years","Estimate!!Total!!Female!!6 to 17 years!!With health insurance coverage","Margin of Error!!Total!!Female!!6 to 17 years!!With health insurance coverage","Estimate!!Total!!Female!!6 to 17 years!!No health insurance coverage","Margin of Error!!Total!!Female!!6 to 17 years!!No health insurance coverage","Estimate!!Total!!Female!!18 to 24 years","Margin of Error!!Total!!Female!!18 to 24 years","Estimate!!Total!!Female!!18 to 24 years!!With health insurance coverage","Margin of Error!!Total!!Female!!18 to 24 years!!With health insurance coverage","Estimate!!Total!!Female!!18 to 24 years!!No health insurance coverage","Margin of Error!!Total!!Female!!18 to 24 years!!No health insurance coverage","Estimate!!Total!!Female!!25 to 34 years","Margin of Error!!Total!!Female!!25 to 34 years","Estimate!!Total!!Female!!25 to 34 years!!With health insurance coverage","Margin of Error!!Total!!Female!!25 to 34 years!!With health insurance coverage","Estimate!!Total!!Female!!25 to 34 years!!No health insurance coverage","Margin of Error!!Total!!Female!!25 to 34 years!!No health insurance coverage","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!35 to 44 years!!With health insurance coverage","Margin of Error!!Total!!Female!!35 to 44 years!!With health insurance coverage","Estimate!!Total!!Female!!35 to 44 years!!No health insurance coverage","Margin of Error!!Total!!Female!!35 to 44 years!!No health insurance coverage","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!45 to 54 years!!With health insurance coverage","Margin of Error!!Total!!Female!!45 to 54 years!!With health insurance coverage","Estimate!!Total!!Female!!45 to 54 years!!No health insurance coverage","Margin of Error!!Total!!Female!!45 to 54 years!!No health insurance coverage","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!55 to 64 years!!With health insurance coverage","Margin of Error!!Total!!Female!!55 to 64 years!!With health insurance coverage","Estimate!!Total!!Female!!55 to 64 years!!No health insurance coverage","Margin of Error!!Total!!Female!!55 to 64 years!!No health insurance coverage","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!65 to 74 years!!With health insurance coverage","Margin of Error!!Total!!Female!!65 to 74 years!!With health insurance coverage","Estimate!!Total!!Female!!65 to 74 years!!No health insurance coverage","Margin of Error!!Total!!Female!!65 to 74 years!!No health insurance coverage","Estimate!!Total!!Female!!75 years and over","Margin of Error!!Total!!Female!!75 years and over","Estimate!!Total!!Female!!75 years and over!!With health insurance coverage","Margin of Error!!Total!!Female!!75 years and over!!With health insurance coverage","Estimate!!Total!!Female!!75 years and over!!No health insurance coverage","Margin of Error!!Total!!Female!!75 years and over!!No health insurance coverage",
"0500000US01003","Baldwin County, Alabama","197501","1354","96154","2083","6451","1453","6389","1453","62","99","16036","1435","15445","1536","591","532","7924","1169","5958","1464","1966","990","11201","1422","6557","1590","4644","1421","12243","916","8002","1367","4241","1396","11931","645","10154","948","1777","756","12729","620","11612","765","1117","518","10589","463","10338","509","251","283","7050","516","7050","516","0","189","101347","1783","5524","1363","5462","1371","62","116","16544","1351","14653","1043","1891","1096","6736","542","4995","1189","1741","1036","11554","946","8026","1288","3528","1436","12095","637","9650","1231","2445","1044","14644","957","11149","1330","3495","1170","14636","415","13288","772","1348","658","11672","415","11672","415","0","189","7942","352","7942","352","0","189",
"0500000US01015","Calhoun County, Alabama","114583","829","54810","648","3773","431","3773","431","0","189","9123","506","8884","512","239","204","5446","631","4330","546","1116","506","6725","786","4209","811","2516","1010","7418","490","5754","839","1664","701","7305","232","6262","428","1043","441","7292","2","6982","244","310","244","5053","193","4994","219","59","98","2675","87","2675","87","0","189","59773","599","3769","437","3769","437","0","189","8926","569","8883","568","43","72","5607","249","4717","466","890","537","7773","386","6246","638","1527","599","7182","219","6103","528","1079","527","7813","186","6835","468","978","410","8350","264","7604","417","746","393","5861","94","5767","86","94","103","4492","314","4492","314","0","189",
"0500000US01043","Cullman County, Alabama","80363","714","39488","797","3273","645","3059","756","214","320","6125","611","5809","593","316","307","3547","326","3030","408","517","347","4874","425","3248","613","1626","630","4629","147","3786","537","843","510","5499","195","4285","542","1214","493","5484","354","4613","660","871","534","3842","189","3842","189","0","189","2215","142","2215","142","0","189","40875","693","2670","380","2583","351","87","133","6240","510","6000","582","240","225","3531","210","2362","708","1169","665","4495","228","2996","581","1499","540","4903","261","3794","465","1109","464","5763","275","4386","638","1377","718","5447","170","4805","358","642","346","4502","200","4502","200","0","189","3324","228","3324","228","0","189",
"0500000US01049","DeKalb County, Alabama","70329","453","35673","1284","2969","464","2681","505","288","256","6742","892","6390","939","352","291","2986","455","1983","637","1003","554","3970","509","3240","471","730","458","5153","283","3360","721","1793","757","4360","178","3109","705","1251","669","4496","298","3424","649","1072","641","3388","331","3388","331","0","189","1609","76","1609","76","0","189","34656","1203","2250","310","2250","310","0","189","5870","793","5261","770","609","576","3117","360","2082","610","1035","574","4018","335","2758","626","1260","632","4003","172","3409","327","594","282","4517","293","2735","728","1782","777","5287","499","4348","384","939","482","3340","56","3340","56","0","189","2254","250","2254","250","0","189",
"0500000US01051","Elmore County, Alabama","75906","1096","36084","1069","4242","721","4242","721","0","189","5694","952","5574","960","120","170","4477","862","3855","842","622","513","3577","907","2303","834","1274","891","3982","465","3057","631","925","506","4587","467","3808","571","779","465","4232","281","4093","321","139","145","3361","249","3361","249","0","189","1932","249","1932","249","0","189","39822","879","2533","670","2533","670","0","189","6122","789","5997","792","125","143","3881","324","2744","559","1137","571","5053","781","4565","874","488","490","5601","605","5156","643","445","249","5494","723","4950","840","544","395","5578","338","5272","388","306","241","3197","245","3197","245","0","189","2363","244","2363","244","0","189",
"0500000US01055","Etowah County, Alabama","102664","336","50008","551","3771","551","3771","551","0","189","7926","511","7614","691","312","391","4579","396","3449","526","1130","492","5627","456","3901","621","1726","587","7043","772","5272","673","1771","738","6818","492","5095","725","1723","672","6652","61","5897","359","755","358","4843","199","4843","199","0","189","2749","212","2699","242","50","85","52656","614","3230","419","3230","419","0","189","7640","491","6967","999","673","907","4737","403","3907","511","830","418","5954","388","4815","466","1139","499","6670","244","5112","696","1558","628","7201","209","6709","323","492","259","7437","165","6829","411","608","375","5690","272","5690","272","0","189","4097","406","4097","406","0","189",
"0500000US01069","Houston County, Alabama","103448","591","49384","423","4239","263","4130","281","109","116","8634","283","8295","340","339","207","4162","184","3099","345","1063","336","6309","275","4246","385","2063","525","6118","161","4823","319","1295","341","6520","90","5494","328","1026","310","6242","91","5726","197","516","171","4427","40","4427","40","0","189","2733","40","2733","40","0","189","54064","376","4057","281","4009","280","48","61","7731","299","7218","400","513","340","4633","139","3761","371","872","330","6952","189","5337","453","1615","446","6999","139","6124","225","875","229","7133","118","6194","292","939","288","7221","95","6513","268","708","245","5209","53","5186","61","23","27","4129","310","4108","311","21","36",
"0500000US01073","Jefferson County, Alabama","653190","1458","307591","1301","26313","1169","25077","1196","1236","595","51079","1265","49968","1395","1111","516","29763","551","22496","1388","7267","1485","43780","733","32975","1579","10805","1524","39969","778","32695","1331","7274","1182","39105","773","32125","1342","6980","1420","39443","691","36590","1024","2853","785","23587","696","23497","707","90","144","14552","461","14552","461","0","189","345599","1026","25828","990","24964","1044","864","544","49406","1066","48086","1145","1320","563","30351","435","25155","1190","5196","1102","49952","610","39974","1564","9978","1516","44458","618","37415","1214","7043","1132","44963","652","39025","1478","5938","1300","46988","484","43339","930","3649","892","28556","364","28348","433","208","249","25097","497","25097","497","0","189",
"0500000US01077","Lauderdale County, Alabama","92363","516","43889","593","3267","530","3240","539","27","46","6235","565","6043","592","192","207","5193","456","4541","707","652","512","5130","442","3438","495","1692","524","5299","473","4120","647","1179","514","5743","153","4335","548","1408","534","5719","257","5360","222","359","257","4496","257","4496","257","0","189","2807","186","2807","186","0","189","48474","563","2806","479","2642","536","164","172","7003","480","7003","480","0","189","5379","458","4120","740","1259","684","5506","447","3721","549","1785","620","5641","406","4561","460","1080","561","6259","362","5254","540","1005","467","6621","75","6225","273","396","257","5185","173","5185","173","0","189","4074","354","4074","354","0","189",
"0500000US01081","Lee County, Alabama","152493","963","75022","1124","5533","978","5477","979","56","90","11801","678","11334","877","467","546","15769","838","13612","1330","2157","1022","10227","1028","7786","1147","2441","1050","9369","1134","8405","1246","964","598","8269","786","7760","908","509","423","7108","94","6580","358","528","344","4549","327","4549","327","0","189","2397","306","2397","306","0","189","77471","1261","5113","542","4946","576","167","202","10805","819","10748","821","57","93","14404","569","13306","899","1098","735","11795","940","9589","1052","2206","852","9927","872","8281","1085","1646","710","8952","667","7766","739","1186","555","7853","100","7140","508","713","524","5372","584","5372","584","0","189","3250","318","3250","318","0","189",
"0500000US01083","Limestone County, Alabama","87799","927","42905","1148","3039","521","3039","521","0","189","7734","773","7609","803","125","215","3645","577","2399","593","1246","611","5481","820","3915","793","1566","728","5604","558","4857","643","747","502","6645","580","5057","705","1588","647","5372","368","4936","411","436","324","3314","185","3314","185","0","189","2071","456","2071","456","0","189","44894","729","3232","489","3188","481","44","78","7207","740","7207","740","0","189","3479","550","3203","538","276","208","5567","661","4197","692","1370","779","6121","572","5102","728","1019","517","6840","725","5269","905","1571","599","5691","392","4832","412","859","446","4102","300","4063","335","39","70","2655","350","2655","350","0","189",
