"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"0500000US01001","Autauga County, Alabama","20396","413","51281","2391","80.0","1.0","56854","3675","17.6","0.9","32073","2823","0.4","0.2","(X)","(X)","0.7","0.4","2,500-","***","0.0","0.1","-","**","0.2","0.3","-","**","1.1","0.5","(X)","(X)","1.4","0.4","61296","21347","78.9","1.0","56828","3827","3.6","1.1","35242","9399","34.3","1.4","53841","5585","40.0","1.3","61112","5414","22.0","1.1","38325","3655","14213","539","65397","3284","43.6","2.2","65212","9084","56.4","2.2","65441","3318","80.5","2.3","74553","3698","15.2","1.9","28156","3956","4.3","1.5","34833","18421","6183","578","30314","2908","51.0","4.8","26404","5348","43.4","5.2","21491","5169","7.6","3.5","41711","14393","49.0","4.8","34760","4844","42.8","5.0","34583","6085","6.2","1.8","35179","15439","27.0","(X)","(X)","(X)","26.9","(X)","(X)","(X)","26.4","(X)","(X)","(X)",
"0500000US01003","Baldwin County, Alabama","74104","1265","50254","1263","89.0","0.7","52594","1550","8.1","0.5","26967","2845","0.6","0.3","92670","47548","0.5","0.2","36250","25037","0.0","0.1","-","**","0.5","0.3","66272","14783","1.3","0.3","29944","13265","2.7","0.4","42468","13278","87.1","0.8","52945","1672","2.5","0.5","30106","2271","27.7","0.9","52411","2923","40.1","0.8","57282","2726","29.8","0.7","42058","1746","50276","1220","62271","3203","35.7","1.5","57348","4021","64.3","1.5","65099","2600","79.5","1.6","72225","2402","15.3","1.4","30136","2970","5.2","0.9","40967","4401","23828","1070","29078","1844","57.7","2.3","(X)","(X)","51.4","2.3","(X)","(X)","6.3","1.3","(X)","(X)","42.3","2.3","(X)","(X)","35.8","2.3","(X)","(X)","6.5","1.3","(X)","(X)","30.4","(X)","(X)","(X)","32.0","(X)","(X)","(X)","26.6","(X)","(X)","(X)",
"0500000US01005","Barbour County, Alabama","9222","272","32964","2973","51.8","1.9","45039","3878","43.5","1.8","21171","1934","0.2","0.3","-","**","0.6","0.4","(X)","(X)","0.0","0.3","-","**","2.5","1.0","26140","13873","1.4","0.7","(X)","(X)","3.4","0.9","27132","18058","51.0","1.9","45039","3800","3.0","1.1","9246","5862","28.8","2.2","33636","6707","39.7","2.1","39763","3639","28.5","1.6","27049","2965","6059","259","42216","2455","39.2","3.2","32411","5190","60.8","3.2","47281","4063","65.9","3.0","54550","5975","29.6","2.9","19845","3096","4.5","1.8","38750","7612","3163","253","17460","1769","55.6","4.5","(X)","(X)","52.3","4.3","(X)","(X)","3.3","2.0","(X)","(X)","44.4","4.5","(X)","(X)","41.6","4.4","(X)","(X)","2.8","1.3","(X)","(X)","35.7","(X)","(X)","(X)","39.9","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"0500000US01007","Bibb County, Alabama","7027","354","38678","3995","82.5","2.3","42263","3505","16.6","2.3","27793","10951","0.3","0.2","-","**","0.0","0.4","-","**","0.0","0.4","-","**","0.0","0.4","-","**","0.6","0.5","(X)","(X)","0.9","0.8","43750","2743","81.6","2.4","42094","3860","1.7","1.1","(X)","(X)","30.4","3.2","(X)","(X)","38.9","3.1","(X)","(X)","29.0","2.4","(X)","(X)","5296","359","45081","4552","36.0","5.1","41769","4330","64.0","5.1","49347","5290","76.1","3.3","52345","3907","20.0","3.2","21044","3903","3.9","1.5","34286","14139","1731","236","21438","3998","42.7","7.3","(X)","(X)","41.2","7.2","(X)","(X)","1.4","1.1","(X)","(X)","57.3","7.3","(X)","(X)","48.5","7.3","(X)","(X)","8.8","4.4","(X)","(X)","45.1","(X)","(X)","(X)","47.5","(X)","(X)","(X)","33.4","(X)","(X)","(X)",
"0500000US01009","Blount County, Alabama","20816","427","45813","3141","96.0","0.7","46601","3300","1.4","0.3","31507","4278","0.3","0.2","61310","7964","0.2","0.2","(X)","(X)","0.0","0.1","-","**","0.7","0.4","28789","8456","1.5","0.5","39318","26374","5.1","0.8","35271","6788","91.7","1.0","47872","2940","2.4","0.8","32763","9611","31.6","1.4","53801","5165","39.6","1.6","52785","3965","26.5","1.1","31198","2297","15639","416","55530","4416","39.6","2.4","56613","4947","60.4","2.4","54236","6017","79.1","2.1","62465","2680","13.3","1.9","24857","2145","7.6","1.7","46013","6392","5177","352","23929","2298","51.4","3.9","19899","2850","47.2","3.9","18313","3231","4.2","1.5","34274","13772","48.6","3.9","30326","6251","44.3","4.0","26812","6083","4.4","1.8","50703","9000","29.0","(X)","(X)","(X)","29.9","(X)","(X)","(X)","24.5","(X)","(X)","(X)",
"0500000US01011","Bullock County, Alabama","3683","253","31938","5884","28.5","4.6","52930","11284","70.2","4.9","24595","3592","0.8","1.1","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.5","0.8","-","**","2.2","2.2","-","**","26.3","3.4","50465","7437","3.9","2.8","12143","6507","28.7","5.0","27153","10943","40.9","4.4","41111","5235","26.6","3.8","28594","11237","2333","290","42074","3398","35.6","6.2","33009","13939","64.4","6.2","50610","5525","50.2","5.9","(X)","(X)","40.8","6.9","(X)","(X)","9.0","4.5","(X)","(X)","1350","226","22130","3786","49.2","7.4","22992","11603","45.0","7.3","16711","14313","4.1","3.9","25595","2690","50.8","7.4","21812","4604","42.1","8.9","20617","7173","8.7","6.1","68302","38042","48.4","(X)","(X)","(X)","47.4","(X)","(X)","(X)","49.8","(X)","(X)","(X)",
"0500000US01013","Butler County, Alabama","8056","252","32229","1793","55.3","1.5","42922","4336","42.9","1.4","23453","2078","0.1","0.1","(X)","(X)","0.4","0.4","90833","50115","0.0","0.4","-","**","0.2","0.3","-","**","1.0","0.4","(X)","(X)","0.9","0.6","(X)","(X)","54.6","1.5","43313","4275","5.4","1.3","25870","10264","25.8","1.9","35294","5467","39.8","1.8","37319","5328","29.0","1.3","27726","4678","5271","272","40088","2815","38.3","3.0","30528","4988","61.7","3.0","45764","3000","63.7","3.2","56037","3328","28.6","3.2","21506","3092","7.7","1.8","37083","10501","2785","249","18431","2146","62.2","4.0","16760","2097","56.8","3.8","15459","1909","5.4","2.3","42868","29183","37.8","4.0","24598","8939","32.6","4.1","22545","5415","5.2","2.4","55530","29476","32.1","(X)","(X)","(X)","32.7","(X)","(X)","(X)","31.0","(X)","(X)","(X)",
"0500000US01015","Calhoun County, Alabama","45154","645","41703","925","76.5","0.8","46399","1762","20.8","0.7","26071","1934","0.3","0.1","48409","42210","0.4","0.2","(X)","(X)","0.0","0.1","-","**","0.7","0.3","31855","29456","1.3","0.3","32411","4915","2.5","0.3","30575","5243","74.9","0.8","46874","1841","5.2","0.6","20253","4577","29.4","1.0","42578","2299","40.1","1.1","50701","1220","25.4","0.7","34597","1657","30581","689","52300","1447","37.8","1.4","43848","3213","62.2","1.4","55217","1792","69.7","1.6","63593","1913","24.5","1.6","23986","2607","5.8","1.0","36630","8100","14573","740","23063","1534","54.3","2.3","(X)","(X)","48.3","2.4","(X)","(X)","6.0","1.4","(X)","(X)","45.7","2.3","(X)","(X)","37.9","2.3","(X)","(X)","7.8","1.4","(X)","(X)","30.9","(X)","(X)","(X)","31.7","(X)","(X)","(X)","28.3","(X)","(X)","(X)",
"0500000US01017","Chambers County, Alabama","13787","410","34177","2949","59.5","1.5","42336","3938","39.1","1.5","25442","2733","0.1","0.2","-","**","0.8","0.3","62417","10582","0.0","0.2","-","**","0.0","0.2","-","**","0.5","0.4","43478","13748","0.4","0.3","(X)","(X)","59.1","1.6","42595","4087","2.6","0.9","41852","17100","27.6","1.6","37367","7485","41.5","1.7","40129","3050","28.3","1.1","28084","2986","8630","396","45779","2918","34.3","2.5","36960","8873","65.7","2.5","49935","3888","64.8","3.0","58589","3995","27.4","2.5","21902","2023","7.8","1.7","40174","10331","5157","345","20681","1872","56.9","3.4","(X)","(X)","52.6","3.6","(X)","(X)","4.3","1.9","(X)","(X)","43.1","3.4","(X)","(X)","38.5","3.5","(X)","(X)","4.5","1.8","(X)","(X)","34.0","(X)","(X)","(X)","36.8","(X)","(X)","(X)","28.3","(X)","(X)","(X)",
